Tweet,polarity,subjectivity,Sentiment
"RT @5Eyes_insider: @MissDissentEats @SenatorWong Calm, measured, smart

This is the woman who told off Russia for firing a missile launched…",0.257142857,0.696428571,Negative
@DonaldJTrumpJr You dumbass. It was Russia’s missile. Ukraine shot it down.,-0.155555556,0.288888889,Positive
“GUR Intercept Call – “Everything is Ukraine” (englische Übersetzung) ” | U.G.C.* https://t.co/176LJjpjEd,0.0,0.0,Negative
"RT @jcbehrends: More than 70 German scholars, diplomats and writers have signed a petition to support #Ukraine during the upcoming winter w…",0.25,0.25,Negative
"RT @der_gerichtshof: Man muss nicht „intellektuell“ sein, um diesen wichtigen Aufruf zu teilen. 

#SlavaUkrainii 💙💛

https://t.co/vyDCMDFJUE",0.0,0.0,Negative
"RT @UPR_Asselineau: 🔥 FEU D'ARTIFICE
AVEC NOS IMPÔTS 
Vidéo prise en Ukraine aujourd'hui. Un drone suicide tactique russe Lancet (en🇷🇺 : Ла…",0.0,0.0,Negative
"RT @ChristopherJM: Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridiculous. The Ukrainians a…",-0.333333333,1.0,Positive
"@JackPosobiec Biden blames Ukrainian air defence missile for the death of two Polish citizens. #NATO rules out ""no… https://t.co/ypliY0w9Qf",0.0,0.0,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
RT @Angry_Staffer: This is why we wait for the facts. An errant air defense munition and/or fragmentation from a successful interception ma…,0.75,0.95,Negative
RT @ClausPe3: Der nächste Hammer jetzt gerade aus dem ZDF 😅 71 % der Deutschen würden die hohen Energiekosten wegen der Ukraine tragen woll…,0.0,0.0,Negative
"RT @BashaDesta: Russia is behind the Tigray Genocide, collaborating with the Fascist Gov't of Ethiopia. It is backing the Tigray genocide a…",-0.4,0.7,Positive
@DavidLeGQ @gurgavin They still say the are not at war with Ukraine! 😆😆,0.0,0.0,Negative
RT @avischarf: WSJ exculsive: Ukraine managed to land an Iranian Mohajer6 drone used by Russia. They found majority of parts originate in t…,0.0,0.0,Negative
"RT @RWApodcast: ""Ukraine does not agree with the conclusions of Western countries about the Ukrainian origin of the rocket that fell in Pol…",0.0,0.0,Negative
RT @michaeldweiss: Predicting the trajectory and pacing of this war has not been America's strong suit. Providing security assistance to le…,0.433333333,0.733333333,Negative
@realTomBohn Kim Dotcom Ukraine executed the false flag attack on Poland so poorly that there was no chance to blam… https://t.co/D87wCKR5qc,-0.4,0.6,Positive
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
@Dannybroadbent1 @dimatkach69 @jtidmarsh @G_CURLEY @JackPosobiec https://t.co/fnNbZkOK6i,0.0,0.0,Negative
"RT @TIME: Public support for Ukraine is still high, but rising energy costs amid a difficult winter could change that https://t.co/u423QVJ7…",-0.113333333,0.535555556,Positive
"RT @USAmbUN: Grateful to hear the Ukrainian Freedom Orchestra perform tonight at @LincolnCenter.

Their music is their power. And they are…",0.0,0.0,Negative
@czeburashka @LivFaustDieJung Kicking off a public fuzz benefits no-one in this situation. Ukraine would get a lot… https://t.co/3FBoapW7oh,0.0,0.066666667,Negative
"@Unparteiischen @MarkusL32078761 Biden befiehlt also Selenskyj, eine Rakete auf Polen abzufeuern und stellt wenige… https://t.co/Z0Cl41dcVU",0.0,0.0,Negative
Biden lost temper with Zelensky during phone call over Ukraine aid. … https://t.co/AAF7cQSLhj,0.0,0.0,Negative
"RT @dim0kq: Anyway, people - no need to join our war against Russia. 

Just give us the tools. Give us ammo. 

We will figure it out. We ne…",0.0,0.0,Negative
RT @StateDept: .@USAmbUN: We will never recognize any efforts by Russia to change Ukraine’s borders by force. We must hold the perpetrators…,0.0,0.0,Negative
Missile incident was Ukrainian ‘provocation’ – Polish politician — RT World News https://t.co/TkyDGrSmVl,0.0,0.0,Negative
"RT @baronitaigas: This really is the crux of the issue.
It's not that the missile was fired by Ukraine, because of course, using their AD i…",0.2,0.2,Negative
"RT @akoz33: Now that the Russians are on the Left-bank  and the Ukrainians on the Right-bank of the Dnieper, it’s time for a thread on a tu…",0.0,0.0,Negative
RT @hotgayscientist: Being anti-war now what with the whole Ukraine fiasco feels a lot like it was to be anti-war in 2003 with regards to I…,0.2,0.4,Negative
@bennyjohnson Want another fact? Russia invaded Ukraine.,0.0,0.0,Negative
@DonaldJTrumpJr You dumbass. It was Russia’s missile. Ukraine shot it down.,-0.155555556,0.288888889,Positive
