Tweet,polarity,subjectivity,Sentiment
The Svoboda battalion of the 4th brigade of the National Guard of Ukraine mows down the ranks of the occupiers with… https://t.co/BjqpopHoJ3,-0.155555556,0.288888889,Positive
"RT @EuromaidanPress: Join us every day as we observe a minute’s silence in honor of the soldiers, men, women&amp;children who perished in this…",0.0,0.0,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"RT @TpyxaNews: We always want to warmly welcome our friends and partners in Ukraine. But, the World Bank delegation arrived in Kyiv on the…",0.8,0.9,Negative
"@ZelenskyyUa No, Crimea will not return to Ukraine until the ""occupied"" residents themselves and the head do not want it.",0.0,0.0,Negative
"RT @ukraine_map: Ukraine🇺🇦 Air Defense Systems

NATO SAM Systems
NASAMS 🇺🇸🇳🇴 (16 Launchers)
Stormer HVM 🇬🇧 (6 Launchers)
Aspide 🇮🇹 (4 Launc…",0.0,0.0,Negative
RT @StephenM: Does Senate GOP leadership have a rebuttal to the top Dem detailing plans to replace higher-paid US workers w/lower-paid ille…,0.5,0.5,Negative
RT @KurtSchlichter: I keep telling you not to believe anyone about anything re: Ukraine.,0.0,0.0,Negative
RT @KyivIndependent: It is currently unclear whether the missile that hit Poland was the same missile that Ukraine’s military attempted to…,-0.033333333,0.208333333,Positive
RT @rising_serpent: Biden-FTX-Ukraine is everything they claimed Trump was doing with Russia and then investigated him for five straight ye…,0.2,0.4,Negative
RT @KimDotcom: Ukraine executed the false flag attack on Poland so poorly that there was no chance to blame Russia without losing all credi…,-0.4,0.6,Positive
@NewsHour Well we're very lucky compared to most countries.  Just think of Ukraine during the holidays. And Iran I could go on and on.,0.466666667,0.75,Negative
RT @CharriseJLane: Stop giving money to Ukraine.,0.0,0.0,Negative
"RT @WarMonitor3: Snowing in Kyiv 

Winter is here.

A cold and brutal one to come in Ukraine.",-0.7375,1.0,Positive
RT @Omerta_officiel: « Il est difficile de croire que le Président Ukrainien Volodymyr Zelensky n’est pas au courant que sa propre défense…,0.0,0.0,Negative
"Ukraine sent the missile to Kill Polish People.
NOT RUSSIA – UKRAINE did it.
Why are these STUPID people saying the… https://t.co/ONIFbaMiDi",-0.8,1.0,Positive
RT @ASavageNation: is it possible Ukraine fired missiles  into Poland to drag NATO/US into war with Russia?,-0.05,0.535416667,Positive
"RT @GuntherEagleman: Remember, RINO Mitch McConnell went to Ukraine… He is in on it too.",0.0,0.0,Negative
"RT @TpyxaNews: A high-quality telescopic infrared lens, manufactured by the Israeli company Ophir Optronics Solutions, found in the Iranian…",0.0,0.0,Negative
"RT @Tendar: Russia experienced another larger defeat at the Svatove front. Three T-72B3, relatively modern Russian tank types, have been ca…",0.25,0.425,Negative
RT @Born_Free71: Ukraine fired a missile and killed 2 people in Poland. What’s NATO saying now?🤡,-0.2,0.0,Positive
@akafacehots So instead of saying Ukraine is trying to start WW3 you bigot a$$hole maybe question why Belarus is al… https://t.co/Z4B84DriFD,0.0,0.0,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
@Biz_Ukraine_Mag Very impressive cap. Does it double as a radar dish?,0.5,0.5,Negative
"RT @RepMTG: I’m calling for an audit of all US aid and funding to Ukraine.

The American people deserve to know how their money is being sp…",0.0,0.0,Negative
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
"RT @AZgeopolitics: 🇺🇦🇵🇱🇷🇺""Ukraine does not agree with the conclusions of Western countries about the Ukrainian origin of the missile that f…",0.0,0.0,Negative
,,,
RT @Dana_Heide: China is and has been at Russias side in the war against Ukraine from day one. Xi and Putin have sworn to be friends withou…,0.0,0.0,Negative
"RT @r8dr4lfe75: Russian missile = WWIII
Ukraine missile = it was an accident",0.0,0.0,Negative
RT @RoyalSegolene: #Ukraine  pdt des heures une fausse information sur la #Pologne a semé la peur et l’escalade des menaces. Il faut des sa…,0.0,0.0,Negative
"RT @NATO: ❝This is not Ukraine’s fault. Russia bears ultimate responsibility, as it continues its illegal war against Ukraine.❞

@jensstolt…",-0.25,0.75,Positive
"RT @PhillipsPOBrien: Milley, Russia has made a terrible strategic mistake. Wanted to overrun all of Ukraine and lost first their strategic…",-0.375,0.666666667,Positive
"RT @UKR_Report: #NEW AFTER ZELENSKY'S STATEMENT THAT ""THE MISSILE THAT FELL ON POLAND DOES NOT BELONG TO UKRAINE, I HAVE NO DOUBT"", A DIPLO…",0.136363636,0.454545455,Negative
"the MAGA wing of the GOP has continually sided with Putin and against Ukraine.
https://t.co/aA49DPKOq4",0.0,0.0,Negative
RT @Sputnik_Not: Russian Foreign Ministry says Russia has nothing to do with incident that occurred while Ukraine was shooting down Russian…,-0.093518519,0.137962963,Positive
@DonaldJTrumpJr You dumbass. It was Russia’s missile. Ukraine shot it down.,-0.155555556,0.288888889,Positive
RT @4141steph: Just for the record if this $37.7B Ukraine aid request is granted our new total of aid to Ukraine during 2022 alone will be…,0.068181818,0.602272727,Negative
"RT @NATO: ❝This is not Ukraine’s fault. Russia bears ultimate responsibility, as it continues its illegal war against Ukraine.❞

@jensstolt…",-0.25,0.75,Positive
"@AdamKinzinger You're the con, brother.  Go vote for more money to be sent to Ukraine when it should go to U.S. Vet… https://t.co/5HpgFCtjbT",0.5,0.5,Negative
"RT @ECK_CJ: Um es mal festzuhalten:
Die einzige Quelle,  die zu den #Raketen in #Polen von Anfang an richtige Aussagen gemacht hat,  war di…",0.0,0.0,Negative
"@nyccookies @DonaldJTrumpJr Because Ukraine is adamant to make a choice, and it seems to be that some people are be… https://t.co/zgJ1gpUuYQ",0.1,0.7,Negative
,,,
"RT @UPR_Asselineau: 🔥 FEU D'ARTIFICE
AVEC NOS IMPÔTS 
Vidéo prise en Ukraine aujourd'hui. Un drone suicide tactique russe Lancet (en🇷🇺 : Ла…",0.0,0.0,Negative
@ZelenskyyUa CRIMEA IS UKRAINE 🇺🇦,0.0,0.0,Negative
"RT @TulsiGabbard: Biden Admin is giving blank check to military industrial complex &amp; corrupt bureaucrats in Ukraine, while pushing for 87k…",-0.225,0.375,Positive
"RT @RepMTG: I’m calling for an audit of all US aid and funding to Ukraine.

The American people deserve to know how their money is being sp…",0.0,0.0,Negative
"RT @IuliiaMendel: whatever the final conclusions may be, it is clear that the party ultimately responsible for this tragic incident is Russ…",-0.1125,0.670833333,Positive
@squatsons @ukraine_map They lost a Su-57. The wreckage is probably hidden in the same place as the wreckage of tha… https://t.co/wboACLU5GV,-0.083333333,0.229166667,Positive
"RT @DavidBCollum: What is the latest goings in Ukraine. Here is Colonel Douglas MacGregor's take...
https://t.co/UwnQP1OEht",0.5,0.9,Negative
"@ianbremmer Ukraine must make reasonable concessions to realize a negotiated compromise peace, including territory… https://t.co/MOw9vAXe6g",0.2,0.6,Negative
"@itsEritrea I mean, when Russia is bombing your city that literally borders Poland there's a decent chance this can… https://t.co/JhN5CDgecX",-0.072916667,0.677083333,Positive
"RT @RealCandaceO: Ukraine is an intelligence operation full stop, hence the Operation Mockingbird level of support for Zelensky. 

Yesterda…",0.35,0.55,Negative
RT @Tagesspiegel: Um russische Kriegsverbrechen zu stoppen: Menschenrechtler auf Berliner Konferenz fordern weitere Waffen für die #Ukraine…,0.0,0.0,Negative
"@SassGoneRogue @ZekeGary2 So if the Russians hadn't fired missiles at Ukraine, Ukraine would not have shot at them,… https://t.co/4QddZzr3Ud",0.0,0.0,Negative
"@theorigpundit @TPostMillennial So, Ukraine, knowing about NATO's radar assets, decided to launch an S300 missile i… https://t.co/DCoSVzYvmX",0.0,0.0,Negative
Pentagon says U.S. will support Ukraine 'for as long as it takes' https://t.co/YjspsVr3Cq https://t.co/SJnesUuhEp,-0.05,0.4,Positive
can someone help me here? why are people on here defining other peoples politics based on the war in ukraine?,-0.125,0.375,Positive
RT @wolsned: Zelenskiy said he had 'no doubt' that the missile that struck Poland and killed two people was not Ukrainian. He added that Uk…,-0.2,0.0,Positive
"The Telegraph: Missile attack rocks Kyiv hours after Volodymyr Zelensky's G20 speech | Ukraine war.
https://t.co/ng5mapAG4Q

via @GoogleNews",0.0,0.0,Negative
@citizens_sanity Meanwhile @POTUS Biden is requesting congress $33 Billion dollars for #Ukraine even though the… https://t.co/nudGYc94q9,0.0,0.0,Negative
@eze_ubaja @Roal_Yr @MriyaReport You have no idea what freedom is! How dare you say that Ukraine is Russia!?🤦‍♀️,0.0,0.0,Negative
"RT @mhmck: As expected, NATO found excuses for inaction rather than retaliate against the Russian terrorist state.

A limited response woul…",-0.057142857,0.180952381,Positive
"RT @oryxspioenkop: Russia acquired these vehicles from the secondhand car market, and did not capture them from Ukraine. https://t.co/bagJE…",-0.1,0.3,Positive
"RT @abdujalil: ""Sashka! You're alive!"" Tears of joy and happiness as Ukrainian soldiers reunite with their families after liberating #Khers…",0.541666667,0.266666667,Negative
RT @jacksonhinklle: Ukraine's missile killed two people in Poland and now they are trying to blame Russia and start WWIII.,-0.2,0.0,Positive
"RT @ChristopherJM: Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridiculous. The Ukrainians a…",-0.333333333,1.0,Positive
"RT @abdujalil: ""Sashka! You're alive!"" Tears of joy and happiness as Ukrainian soldiers reunite with their families after liberating #Khers…",0.541666667,0.266666667,Negative
"RT @ChristopherJM: Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridiculous. The Ukrainians a…",-0.333333333,1.0,Positive
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"@melaniejoly @RauZbigniew @DmytroKuleba ""Polish PM has just come out and said the missiles were most likely to have… https://t.co/JyhaOCkPJl",0.25,0.75,Negative
"RT @irgarner: A reminder that Russia shot down a passenger jet over Ukraine in 2014, killing 298 civilians, and the West shrugged and got o…",-0.155555556,0.288888889,Positive
RT @iaeaorg: Yesterday Ukraine’s Khmelnytskyy Nuclear Power Plant (KhNPP) lost all access to the electricity grid for more than 9 hours due…,0.5,0.5,Negative
RT @WCKitchen: We cannot forget Ukraine. 🇺🇦 Many communities across this resilient nation are entering winter without heat. They need our s…,0.5,0.5,Negative
Công dân #Syria với sự hậu thuẫn của Quân đội Ả Rập Syria đã ném đá một Đoàn xe của Mỹ đang tuần tra và buộc đoàn x… https://t.co/rxSTTg6uC3,0.0,0.0,Negative
"RT @irgarner: A reminder that Russia shot down a passenger jet over Ukraine in 2014, killing 298 civilians, and the West shrugged and got o…",-0.155555556,0.288888889,Positive
"RT @michaelrulli: Biden is asking for another $37 billion to be sent to Ukraine.

If he gets his wish, American taxpayers will have sent mo…",0.0,0.0,Negative
"RT @nrken19: The Quaternary lions of Ukraine and a trend of decreasing size in Panthera spelaea

https://t.co/KD2vXOrMXP https://t.co/zdvGL…",0.0,0.0,Negative
@noyfb2022 @N0str001 @HollyBriden @Breaking911 @crypt0e Wanna blame someone for why this is happening? Russia is th… https://t.co/A6F5n0SMYl,0.0,0.0,Negative
"RT @DonaldJTrumpJr: Since it was Ukraine's missile that hit our NATO ally Poland, can we at least stop spending billions to arm them now?",-0.3,0.4,Positive
@M1zxryT @CLG128798 @JackPosobiec That was no accident. It was intended to draw the UN into it. Ukraine should be a… https://t.co/3zyQao8zI2,0.0,0.0,Negative
"@CovertShores Must be USV usage. Ships being sunk with missiles is old hat, look at the Falklands, but USV's attack… https://t.co/86o4wBxZGN",0.1,0.2,Negative
RT @ukrainiansquad: All Ukranians together for Ukraine❤️ https://t.co/zwHMgFKUCR,0.0,0.0,Negative
"@BuyTheIndex @NeworpK @DPJHodges Sorry, but it's called doing your homework. After all he's billing himself as a pr… https://t.co/wMS7lFWZuQ",-0.5,1.0,Positive
"RT @RepMTG: I’m calling for an audit of every single penny that has been sent to Ukraine.

This must be done as soon as possible for the Am…",-0.035714286,0.607142857,Positive
"RT @UkraineNewsLive: ⚡🇺🇦💪The remains of the #Russian low-altitude radar ""Podlet K1"" in Chernobaevka

Judging by the hole under the bottom,…",0.0,0.0,Negative
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
"RT @Clawrlt: Dedicado especialmente a:

@ZelenskyyUa
@DefenceU
@DI_Ukraine
@UkraineDiary
@SumakovaPolina
@SlavaUk30722777
@Ukraine
@Heroiam…",0.0,0.0,Negative
"RT @RonPaul: Did Ukraine Try To Lie Us Into WWIII? - today on the Liberty Report:
https://t.co/DuDCDIlCbg",0.0,0.0,Negative
RT @KimDotcom: I have taken a lot of heat for calling out the US proxy war in Ukraine and for educating you about the real reasons for this…,0.2,0.3,Negative
"RT @WarMonitor3: Snowing in Kyiv 

Winter is here.

A cold and brutal one to come in Ukraine.",-0.7375,1.0,Positive
"RT @RepMTG: I’m calling for an audit of all US aid and funding to Ukraine.

The American people deserve to know how their money is being sp…",0.0,0.0,Negative
RT @ukrainiansquad: These warriors force you to love them. With you guys Ukraine will be free.❤️ https://t.co/b8ySXN62Gq,0.5,0.6,Negative
"RT @sophielouisecc: If tax rises are bought in tomorrow's statement. 

We must protest them greatly.

It is preposterous that a government…",0.8,0.75,Negative
RT @Glavset: @zerohedge If Ukraine had not shelled eastern Ukraine for the past decade there would be no Russian invasion today.,-0.125,0.125,Positive
"RT @Bitboy_Crypto: Anyone else confused as to why SBF has not been arrested yet?

Let’s look at why:
 
-@GaryGensler worked for his gf’s da…",-0.4,0.7,Positive
"RT @Dominiquetaegon: This is BIG. 

Polish PM has just come out and said the missiles were most likely to have come from Ukrainian air defe…",0.166666667,0.533333333,Negative
@G_CURLEY They were suppose to wait until after the next 37 Billion was sent to Ukraine before they admitted the mi… https://t.co/W6lPdec0Am,0.0,0.0,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"Our Money specifically. American's don't pay taxes to fund Ukraine and Israel while we drown in debt, division and… https://t.co/pFsXe1yl9i",0.0,0.0,Negative
@RSmithC2 @WholeMarsBlog @ianbremmer @elonmusk You seem to have no idea how well Ukraine are doing.  Or who supplie… https://t.co/VJBxPBMQXw,0.0,0.0,Negative
,,,
"@geli_fli @Nevergiveup3110 Ja. Der Schuldige ist und bleibt Putin.

Hätte er die Ukraine nicht angegriffen, hätte d… https://t.co/3Nu03s1uFu",0.0,0.0,Negative
@originaleo @KimDotcom When did you tune into channel Ukraine? I recall battalions sent to the regions (who refused… https://t.co/gwR2coqHzf,0.0,0.0,Negative
"RT @EP_President: Good exchange with @CommonsSpeaker.

The European Union and United Kingdom face common challenges. On Russia's aggression…",0.133333333,0.366666667,Negative
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0.0,0.0,Negative
"RT @NATO: ❝This is not Ukraine’s fault. Russia bears ultimate responsibility, as it continues its illegal war against Ukraine.❞

@jensstolt…",-0.25,0.75,Positive
@Matcha_Lex @tartinki @Bes91647703 @MakeYourBed1 @TpyxaNews What?! If you accuse someone of being a robber you must… https://t.co/rZFRKmhyPh,0.0,0.0,Negative
"Trump ‘is Ukraine’s B*tch’: Ex-Breitbart Reporter, Turned Russian State Media Host Blasts Ex-President’s 2024 Annou… https://t.co/kLf7chucSG",0.0,0.0,Negative
RT @prorizna: https://t.co/ze5XFZPOS0,0.0,0.0,Negative
"RT @berlin_bridge: If NATO isn’t willing to #CloseTheSkies, its members should withdraw objections to #Ukraine striking military sites firi…",0.216666667,0.616666667,Negative
RT @JDunlap1974: There should be an audit of every single penny that has been sent to Ukraine. The American people deserve to know exactly…,-0.035714286,0.107142857,Positive
RT @SierraSmith84: MTG calls for an audit of all US aid and funding to the Ukraine 🇺🇸,0.0,0.0,Negative
"RT @DonaldJTrumpJr: Since it was Ukraine's missile that hit our NATO ally Poland, can we at least stop spending billions to arm them now?",-0.3,0.4,Positive
RT @ChildrenUKR: This account is founded by #NAFOfellas worldwide as an effort to raise awareness about the children stolen from Ukraine.…,0.0,0.0,Negative
RT @4141steph: Just for the record if this $37.7B Ukraine aid request is granted our new total of aid to Ukraine during 2022 alone will be…,0.068181818,0.602272727,Negative
"RT @WarMonitor3: Snowing in Kyiv 

Winter is here.

A cold and brutal one to come in Ukraine.",-0.7375,1.0,Positive
@babbang7 @4wding @Freehandouts1 @JackPosobiec Probably the war in Ukraine.,0.0,0.0,Negative
"RT @DefenceU: This is everyday life in Ukraine... and we are getting used to it. 
📷Dmytro Komarov https://t.co/x9ylGpXVFo",-0.2,0.6,Positive
@samanthamarika1 Planning on blaming Russia for something Ukraine does next.,0.0,0.0,Negative
"@valerieboyer13 on n'a pas des responsabilités sur l'Arménie, notre histoire coloniale nous lie au Mali, et l'Ukrai… https://t.co/HWCxB19ysc",0.0,0.0,Negative
"RT @NOELreports: Air defense systems provided by the US and allied countries help Ukraine protect the civilian population, and the American…",0.0,0.0,Negative
"@nathaliejacoby1 Lmfao, you realize your Pedo Peter and his Posse have been Laundering money through Ukraine and FT… https://t.co/uYZ8syzzgS",0.0,0.0,Negative
@TyrusWolv @NOELreports @YvanR11 They need access to Ukraine. They need Chicken nuggets,-0.6,0.95,Positive
"RT @Dominiquetaegon: This is BIG. 

Polish PM has just come out and said the missiles were most likely to have come from Ukrainian air defe…",0.166666667,0.533333333,Negative
"RT @ianbremmer: us govt now saying out loud what everyone has been saying privately for months:

complete removal of russian troops from uk…",0.05,0.39375,Negative
RT @SierraSmith84: MTG calls for an audit of all US aid and funding to the Ukraine 🇺🇸,0.0,0.0,Negative
"RT @mhmck: As expected, NATO found excuses for inaction rather than retaliate against the Russian terrorist state.

A limited response woul…",-0.057142857,0.180952381,Positive
"RT @derspiegel: Putins Soldaten sollen willkürlich Menschen festgesetzt, Handys kontrolliert und Krankenwagen gestohlen haben: Eine Einwohn…",0.0,0.0,Negative
"RT @ZespolBrauna: Niezależnie od tego, czy w Przewodowie spadła rosyjska rakieta, czy też ukraińska, wystrzelona, by zestrzelić rosyjską, t…",0.0,0.0,Negative
RT @TWMCLtd: Sick jokes in #Russia as their soldiers make fun of the Polish people killed yesterday when during the Russian barrage of #Ukr…,-0.153571429,0.264285714,Positive
@olha_borovyk @RedHillCattle @MadeInTheUSANJ @DonaldJTrumpJr Creepette!  But thanks. I wonder how you and Ukraine w… https://t.co/XDB2ogCxjS,0.2,0.2,Negative
RT @WUTangKids: Banksy has confirmed 7 amazing murals to be his work throughout Ukraine https://t.co/X5ABd54nbc https://t.co/EiuZWQrkmr,0.5,0.95,Negative
"@MattWalshBlog Ukraine has captured Russian missiles, they could have fired one into Poland to get NATO involved. I… https://t.co/oi6Xi2aiMm",0.0,0.0,Negative
RT @KimDotcom: Ukraine executed the false flag attack on Poland so poorly that there was no chance to blame Russia without losing all credi…,-0.4,0.6,Positive
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
RT @JackPosobiec: Ukraine asked for a full-scale NATO intervention yesterday,0.0,0.0,Negative
"RT @Dominiquetaegon: This is BIG. 

Polish PM has just come out and said the missiles were most likely to have come from Ukrainian air defe…",0.166666667,0.533333333,Negative
"RT @Flash_news_ua: The Chairman of the Joint Chiefs of Staff, General Mark Milley, said that Russia had failed ""every single"" goal in its w…",-0.173809524,0.338095238,Positive
"@WarMonitor3 Bad weather is a fallacy, all that exists is incorrect clothing.

All that lovely warm kit Ukraine is… https://t.co/6Ts2G8dwgC",0.133333333,0.672222222,Negative
"RT @ChristopherJM: Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridiculous. The Ukrainians a…",-0.333333333,1.0,Positive
"@_FriedrichMerz Vor allem müssen die USA die Biden Kriege beenden. 
Den stellvertreterkrieg zu Lasten der Ukraine u… https://t.co/QHAAYCHMPC",0.0,0.0,Negative
"RT @WarMonitor3: Snowing in Kyiv 

Winter is here.

A cold and brutal one to come in Ukraine.",-0.7375,1.0,Positive
"An abandoned T-72B3 Obr 2016 (or T-80BVM??🥳😵‍💫🤔) get's the drone treatment.
💪🇺🇦💪

#Dronehunting 
#drone… https://t.co/NkJ7kOUeN1",0.0,0.0,Negative
"RT @McFaul: Working Group Paper #6: Why and How to Confiscate Russia’s Sovereign Assets to Help Rebuild Ukraine,

https://t.co/Tbbup0PcmB 3/",0.0,0.0,Negative
@sunriseon7 Ukraine trying to get NATO involved. When will the world wake up?,0.0,0.0,Negative
"RT @amanpour: We must “give Ukraine as much military aid as we can give, so that Ukraine can defend themselves and push the aggressor back…",-0.1,0.1,Positive
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0.0,0.0,Negative
RT @DrO42388365: @srfnews Wo ist jetzt der Bündnisfall? Das nicht Nato-Land Ukraine schiesst auf den Nato-Staat Polen! Die NATO muss nun Po…,0.0,0.0,Negative
RT @Dempz8: Turns out Ukraine bombed Poland 🤷‍♂️ and everyone sooooo quick to blame Russia 🤦‍♂️,0.333333333,0.5,Negative
"Top US general at odds with State Dept on Ukraine
(w/ Doug Macgregor) https://t.co/OIaV8iVSIm
@aaronjmate @TheGrayzoneNews",0.275,0.5,Negative
RT @DannyHartwig4: Mir reichts eintgültig nun!!! nachdem mein abschlag von 380 auf 720 euro stieg beim Strom kommt das jetzt hinterher noch…,0.0,0.0,Negative
"RT @qunfuz2: Was eating Syrian fast food in a cafe last night and talking (in English) about Russian savagery in Ukraine, and how belatedly…",0.05,0.166666667,Negative
"RT @f_philippot: Après cette attaque ukrainienne contre la #Pologne, normalement, vu les Traités UE et OTAN, on devrait attaquer l’Ukraine…",0.0,0.0,Negative
@lauranakrynn94 @KFOX14 @POTUS https://t.co/HPuarSXPuO,0.0,0.0,Negative
"RT @WarMonitor3: Snowing in Kyiv 

Winter is here.

A cold and brutal one to come in Ukraine.",-0.7375,1.0,Positive
"RT @trapperjohn37: So if I understand it right we sent money to Ukraine, then Ukraine invests money in a crypto scam that then spends 40 mi…",0.285714286,0.535714286,Negative
"@JamesBradleyCA WRONG! Those 2 deaths are on Russia and the despicable attack on Ukraine, yesterday.
The missiles w… https://t.co/a4aS1HeBVt",-0.625,0.9,Positive
RT @DenesTorteli: ⚡️An excellent hit directly into the open engine and transmission compartment of the BMP-3 of the occupiers with the help…,0.366666667,0.633333333,Negative
